"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Cote d'Ivoire","CIV","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2430","2440","2410","2360","2390","2520","1760","1850","1890","1910","1790","1750","1710","1660","1760","1940","1990","2030","2140","2200","2310","2110","2350","2530","4000","4310","4430","4550","4810","5360","5380","5860","6500","6950","7350",
"Cameroon","CMR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1950","1850","1800","1660","1670","1700","1760","1820","1890","1960","1990","2050","2140","2290","2480","2530","2670","2760","2830","2870","2890","2960","3010","3180","3360","3450","3570","3700","3940","4150","4280","4720","5060","5300","5490",
"Congo, Dem. Rep.","COD","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","760","610","610","540","480","460","490","460","450","410","410","380","400","420","440","460","490","520","530","540","570","600","600","650","740","800","890","970","1030","1100","1110","1270","1400","1570","1650",
"Congo, Rep.","COG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2900","3010","3180","2920","2890","2110","2160","2590","2810","2510","2680","2730","2890","2950","2820","3250","3890","3560","3900","4420","4760","4660","5730","5700","5820","4690","3870","3860","5280","5140","4740","5570","5930","6500","6700",
"Colombia","COL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4900","5090","5330","5680","6080","6410","6520","6740","6760","6460","6630","6760","6920","7170","7630","8220","8910","9600","9950","10060","10460","11210","11630","12340","12980","13160","13870","14150","14860","15830","15370","17230","19980","20410","21060",
"Comoros","COM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1380","1320","1450","1500","1420","1480","1460","1510","1520","1550","1720","1770","1790","1830","1870","1950","2020","2060","2130","2240","2330","2470","2670","2830","2950","2960","3160","3360","3320","3330","3280","3470","3750","3920","4080",
"Cabo Verde","CPV","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1050","1070","1190","1290","1540","1750","1950","2170","2420","2680","3050","3190","3320","3500","3900","4200","4590","5460","5870","5760","5800","6160","6070","6160","6130","6540","7110","7690","7750","8480","6710","7580","9360","10180","11050",
"Costa Rica","CRI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4800","5040","5510","5900","6220","6430","6510","6830","7160","7290","7520","7810","8070","8450","8970","9530","10480","11540","12230","11870","12510","13160","14010","14680","15720","16780","18390","19430","20330","21950","20820","22320","24070","26120","27880",
"Caribbean small states","CSS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6746.83054886658","6960.57838988101","7380.43225370145","7576.54517700144","7926.56260743721","8472.34716596299","9054.07319532943","9381.58848709444","9910.88134887565","10477.5793495672","11062.6932931262","11492.2933168562","12210.1516964047","13208.4241927355","14376.9374342671","15502.3202276993","17201.5872530749","18448.2672134402","19123.0905765031","18473.3340737956","19006.6264922362","18751.8444071179","19512.2807117459","20001.9477167268","20222.5998114189","20115.4650365178","19274.8186813598","20111.7928765542","20221.8414555939","21190.1713985384","19098.6467428196","21736.3704110303","24710.3138134633","30242.6129098624","32935.9777361749",
"Cuba","CUB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
